X_pct,Y_pct,XIRR_pct,CAGR_pct,Benchmark_CAGR_pct,Alpha_pct,TotalReturn_pct,FinalValue_INR,NumTrades,OpenPositions,WinRate_pct,AvgHoldingDays,MaxDrawdown_INR,TotalInvested_INR,TotalReturned_INR,FinalCash_INR,FinalAsset_INR,STCG_Tax_INR,LTCG_Tax_INR,TotalTax_INR,NetAfterTax_INR
10.0,10.0,19.612465575330766,19.627138408740883,20.22213622189051,-0.5949978131496252,500.64348472054724,600643.4847205472,254,34,89.93055555555556,180.63385826771653,-92399.4639665191,5760000.0,5660903.0121589815,903.0121589804039,599740.4725615669,96972.29735606353,12005.190672332843,108977.48802839637,491665.99669215083
10.0,11.0,20.945457952170543,20.961212496635582,20.22213622189051,0.7390762747450736,571.1208384518109,671120.8384518109,264,36,89.33333333333333,190.3030303030303,-90908.94026826147,6000000.0,5935755.216344765,35755.21634476891,635365.622107042,109827.21882309159,13327.390278663868,123154.60910175546,547966.2293500555
10.0,12.0,19.071229259781006,19.085465785237645,20.22213622189051,-1.1366704366528637,473.9831347312228,573983.1347312228,200,31,89.17748917748918,216.24,-84178.51980106684,4620000.0,4539889.090432429,19889.090432429963,554094.0442987928,86019.97082487526,13723.654538506695,99743.62536338196,474239.50936784083
10.0,13.0,20.664151475402235,20.67967690010686,20.22213622189051,0.45754067821635047,555.656907047704,655656.9070477039,214,36,88.4,216.1214953271028,-93334.43305769737,5000000.0,4907449.719006101,7449.719006100135,648207.1880416038,99292.66577225181,16373.298768105138,115665.96454035694,539990.9425073469
10.0,14.0,18.705025785813298,18.71896805897144,20.22213622189051,-1.5031681629190672,456.5538184673687,556553.8184673687,165,30,88.2051282051282,247.63030303030303,-85797.65526411432,3900000.0,3817679.2485133875,17679.24851338574,538874.569953983,79018.65777467242,15323.244955002956,94341.90272967538,462211.9157376933
10.0,15.0,18.86336732622635,18.87743673529634,20.22213622189051,-1.3446994865941697,464.0306934475598,564030.6934475598,158,31,86.77248677248677,266.6518987341772,-92396.23628451291,3780000.0,3685701.615148947,5701.61514894733,558329.0782986125,78885.75658449554,16409.1040283087,95294.86061280424,468735.8328347556
10.0,16.0,17.418564376568852,17.431479105229798,20.22213622189051,-2.790657116660711,399.0360272350041,499036.0272350041,128,27,85.80645161290322,294.65625,-89532.21686590504,3100000.0,3013659.452448026,13659.45244802568,485376.5747869784,66867.03101079144,14915.537174258568,81782.56818505001,417253.4590499541
10.0,17.0,19.059101921659483,19.07332869016818,20.22213622189051,-1.1488075317223299,473.3981639438049,573398.1639438049,142,31,87.28323699421965,286.4788732394366,-96652.94224756816,3460000.0,3367213.6211740244,7213.621174021391,566184.5427697835,77618.57352091359,17390.09419618168,95008.66771709526,478389.4962267097
10.0,18.0,21.082925293409417,21.098791966095675,20.22213622189051,0.8766557442051663,578.7964224501429,678796.4224501429,161,36,86.80203045685279,279.03105590062114,-106814.69196821621,3940000.0,3856883.161097715,16883.16109771459,661913.2613524284,95280.27041707613,20060.22612654175,115340.49654361788,563455.925906525
10.0,19.0,19.38716555343347,19.401656560869696,20.22213622189051,-0.820479661020812,489.41310267503593,589413.102675036,131,31,87.03703703703704,319.29007633587787,-99508.5272550935,3240000.0,3153821.4523164965,13821.452316496085,575591.6503585399,74065.48816801772,20436.751434550933,94502.23960256865,494910.86307246727
10.0,20.0,21.49968538522124,21.515892650649306,20.22213622189051,1.2937564287587975,602.5518546593281,702551.8546593281,153,37,86.8421052631579,306.6143790849673,-109556.3377145594,3800000.0,3719064.104702279,19064.10470228005,683487.7499570481,94352.62005889553,23412.625550975292,117765.24560987082,584786.6090494574
11.0,10.0,19.833260021358072,19.848111326801398,20.22213622189051,-0.37402489508911074,511.8357717461203,611835.7717461203,258,34,90.06849315068493,176.48062015503876,-83397.06041868794,5840000.0,5749882.324430917,9882.324430915229,601953.4473152051,100040.1196580567,11210.215767578964,111250.33542563567,500585.4363204846
11.0,11.0,19.96491868237114,19.979876542580133,20.22213622189051,-0.24225967931037573,518.5986782686157,618598.6782686156,238,34,89.33823529411765,186.1386554621849,-82191.41873077647,5440000.0,5355239.422498213,15239.422498215245,603359.2557704004,100536.66033156001,11569.515105051858,112106.17543661187,506492.50283200375
11.0,12.0,20.63207798863511,20.647577318513054,20.22213622189051,0.4254410966225457,553.9142971294474,653914.2971294475,235,35,89.25925925925927,199.3404255319149,-90308.78397124202,5400000.0,5330514.596199682,30514.596199681546,623399.7009297659,103319.20652439335,14239.820447214352,117559.0269716077,536355.2701578398
11.0,13.0,17.762556493496394,17.77574503945949,20.22213622189051,-2.446391182431018,413.86662629502007,513866.6262950201,164,28,88.02083333333334,240.35365853658536,-78869.00439327117,3840000.0,3758477.8934420366,18477.893442035973,495388.7328529841,72892.08534606687,14252.183338962705,87144.26868502957,426722.3576099905
11.0,14.0,20.50152766783179,20.51692084297705,20.22213622189051,0.29478462108654213,546.8642012863464,646864.2012863464,199,35,88.03418803418803,220.82412060301507,-90229.55560072919,4680000.0,4596222.919971035,16222.91997103281,630641.2813153137,96690.00880212845,16596.609495048822,113286.61829717727,533577.5829891692
11.0,15.0,19.072194980912265,19.086432283368104,20.22213622189051,-1.1357039385224041,474.0297400601439,574029.7400601439,160,31,89.52879581151832,260.1125,-92218.74738100776,3820000.0,3729948.668789369,9948.66878936885,564081.071270775,80323.6565337396,16041.298265083858,96364.95479882346,477664.7852613204
11.0,16.0,19.108366964062725,19.122633373613105,20.22213622189051,-1.0995028482774032,475.77784105258763,575777.8410525876,151,31,89.01098901098901,269.66887417218544,-93004.93151780317,3640000.0,3555714.4161414593,15714.41614146022,560063.4249111274,81117.32661076795,16265.972885952568,97383.29949672052,478394.54155586706
11.0,17.0,20.53973355815645,20.55515778973367,20.22213622189051,0.3330215678431614,548.9203145623521,648920.3145623521,161,35,88.26530612244898,265.8447204968944,-108500.69588360784,3920000.0,3828355.3337625028,8355.333762502807,640564.9807998494,92605.18907362277,18166.173549298623,110771.36262292138,538148.9519394308
11.0,18.0,18.780260680936827,18.794263343808804,20.22213622189051,-1.427872878081704,460.0952067028553,560095.2067028553,130,30,87.5,292.6307692307692,-94112.7218552567,3200000.0,3104783.47926821,4783.479268210642,555311.7274346447,71109.53163785308,18654.47763486815,89764.00927272123,470331.19743013405
11.0,19.0,18.70838123174117,18.722326197559937,20.22213622189051,-1.4998100243305714,456.71133251594495,556711.332515945,120,29,87.91946308724832,318.56666666666666,-87105.97945460421,2980000.0,2897293.009184351,17293.00918435087,539418.3233315941,70104.05177384366,18346.59378939157,88450.64556323523,468260.68695270974
11.0,20.0,18.932175203467036,18.946299904977092,20.22213622189051,-1.2758363169134164,467.3078827015353,567307.8827015352,118,30,86.48648648648648,327.3305084745763,-90521.03155803814,2960000.0,2873074.201077223,13074.201077222577,554233.6816243127,73855.31177569045,17974.70527484629,91830.01705053674,475477.8656509985
12.0,10.0,19.48883889066304,19.503411916426728,20.22213622189051,-0.7187243054637804,494.4575300799141,594457.530079914,247,32,89.96415770609319,174.13765182186233,-82066.16816474311,5580000.0,5509220.856430434,29220.85643043399,565236.67364948,97338.22677482573,10316.215319538162,107654.44209436388,486803.08798555017
12.0,11.0,21.033662192168055,21.049488670030158,20.22213622189051,0.8273524481396493,576.0367463745006,676036.7463745006,258,33,90.37800687285224,174.95736434108528,-71566.63063970022,5820000.0,5809937.576492287,89937.57649228445,586099.1698822161,110822.00346913667,11978.444893325144,122800.44836246182,553236.2980120387
12.0,12.0,21.47003661757444,21.4862196204463,20.22213622189051,1.2640833985557904,600.8374705866678,700837.4705866678,250,35,90.17543859649123,183.032,-81598.30618994731,5700000.0,5672421.2210415,72421.2210414983,628416.2495451694,114303.95414250913,12612.681291119077,126916.63543362821,573920.8351530395
12.0,13.0,19.04417078342701,19.058385540377042,20.22213622189051,-1.1637506815134664,472.6786869456979,572678.6869456979,186,31,88.94009216589862,220.58602150537635,-77567.57788054575,4340000.0,4254992.336903769,14992.336903766598,557686.3500419313,84681.80902143403,13947.91147457455,98629.72049600858,474048.9664496893
12.0,14.0,19.351176871910184,19.36563886204734,20.22213622189051,-0.8564973598431678,487.6368121697804,587636.8121697804,174,32,87.86407766990291,237.67816091954023,-75149.9018327407,4120000.0,4029899.590464604,9899.590464603629,577737.2217051768,85420.1716645089,15349.841517757375,100770.01318226628,486866.7989875141
12.0,15.0,18.929762962805437,18.94388572543231,20.22213622189051,-1.2782504964581989,467.1927029646772,567192.7029646772,159,31,87.36842105263159,246.57861635220127,-83327.22212171456,3800000.0,3710757.520910728,10757.520910727802,556435.1820539495,82507.48999084813,14777.50886956088,97284.99886040902,469907.7041042682
12.0,16.0,19.020442457254212,19.034638128268398,20.22213622189051,-1.1874980936221107,471.53697726570203,571536.977265702,148,31,88.8268156424581,267.93918918918916,-84469.95991533005,3580000.0,3481751.1352772648,1751.1352772633254,569785.8419884386,77909.1267508468,16525.687690378676,94434.81444122548,477102.1628244765
12.0,17.0,19.66998481961131,19.684704119948115,20.22213622189051,-0.5374321019423931,503.5412973911431,603541.297391143,146,32,88.20224719101124,269.43150684931504,-90745.87160953123,3560000.0,3470778.517363234,10778.51736323132,592762.7800279118,83746.87224341813,16505.519518267596,100252.39176168572,503288.9056294573
12.0,18.0,18.300919252790674,18.314537716620794,20.22213622189051,-1.9075985052697142,437.8746331653231,537874.6331653231,123,29,87.5,309.9837398373984,-82984.71835078753,3040000.0,2944314.9040607773,4314.90406077604,533559.7291045471,69607.41231146104,17034.730312933858,86642.1426243949,451232.49054092815
12.0,19.0,17.264987148532345,17.277779852840247,20.22213622189051,-2.9443563690502614,392.5401206376478,492540.1206376478,105,26,87.02290076335878,319.4095238095238,-80750.94114453514,2620000.0,2534860.368849533,14860.368849533334,477679.7517881145,62611.69181431379,15225.238722245558,77836.93053655935,414703.1901010885
12.0,20.0,17.63584735867911,17.648934964090856,20.22213622189051,-2.573201257799653,408.35826547241345,508358.26547241345,103,27,86.92307692307692,348.80582524271847,-77449.25700118195,2600000.0,2505065.435946279,5065.435946278121,503292.82952613535,57587.91182390622,19640.73460334338,77228.6464272496,431129.61904516385
13.0,10.0,18.992426931627755,19.006600072461467,20.22213622189051,-1.2155361494290418,470.19162289240734,570191.6228924074,232,31,90.11406844106465,176.9655172413793,-77906.9696171734,5260000.0,5175668.531526389,15668.531526390594,554523.0913660168,91478.06907257446,9784.773270439777,101262.84234301424,468928.7805493931
13.0,11.0,16.97706715121397,16.989631461172294,20.22213622189051,-3.2325047607182142,380.56661239274547,480566.61239274545,179,27,88.3495145631068,200.58659217877096,-71720.01309053996,4120000.0,4027603.718239121,7603.718239119815,472962.89415362565,73383.82681782267,10085.573018750805,83469.39983657347,397097.212556172
13.0,12.0,19.08951670666792,19.103767946737182,20.22213622189051,-1.1183682751533262,474.8662585309737,574866.2585309737,201,31,89.65517241379311,206.3233830845771,-71355.73340120193,4640000.0,4558800.380598662,18800.380598661723,556065.877932312,87272.33575043055,12804.837730813628,100077.17348124417,474789.0850497295
13.0,13.0,18.269149274243727,18.282742320964918,20.22213622189051,-1.939393900925591,436.43032413983923,536430.3241398393,172,29,89.05472636815921,213.25581395348837,-72141.51650264015,4020000.0,3937024.701605211,17024.701605208014,519405.6225346313,78741.93408259342,12914.37889903011,91656.31298162353,444774.01115821576
13.0,14.0,17.274570324283648,17.287370638845488,20.22213622189051,-2.9347655830450208,392.94322574038955,492943.22574038955,143,27,87.6470588235294,247.75524475524475,-72742.03704269696,3400000.0,3304468.5214211056,4468.521421105681,488474.7043192839,65901.89597584748,14369.88019273353,80271.77616858101,412671.44957180857
13.0,15.0,19.795224272050042,19.81004481263198,20.22213622189051,-0.4120914092585295,509.89442032136367,609894.4203213636,170,33,87.192118226601,236.87058823529412,-70624.56130789185,4060000.0,3966265.5754408245,6265.575440824403,603628.8448805392,86839.92868991282,16508.241498907533,103348.17018882035,506546.25013254327
13.0,16.0,18.822739491664688,18.836776265953237,20.22213622189051,-1.3853599559372718,462.1036773135117,562103.6773135117,144,30,87.93103448275862,252.23611111111111,-72427.58803511638,3480000.0,3389388.218207341,9388.218207341743,552715.45910617,78420.2684244587,14660.859510631037,93081.12793508974,469022.549378422
13.0,17.0,20.208016630960405,20.223171496840898,20.22213622189051,0.0010352749503894643,531.2629472379109,631262.9472379108,156,34,86.8421052631579,255.09615384615384,-74752.84546534804,3800000.0,3705885.9590429775,5885.9590429766395,625376.9881949342,89198.78955029805,17486.501411435813,106685.29096173387,524577.6562761769
13.0,18.0,20.072837483776148,20.087882759340616,20.22213622189051,-0.1342534625498928,524.1922395558992,624192.2395558992,145,33,86.51685393258427,276.4689655172414,-78758.83375055733,3560000.0,3474889.7199426424,14889.71994264143,609302.5196132577,85191.45928852948,18616.552937499255,103808.01222602875,520384.22732987045
13.0,19.0,19.539253165387628,19.553866881572656,20.22213622189051,-0.6682693403178526,496.97316957679715,596973.1695767972,128,31,87.42138364779875,287.546875,-87795.63999636512,3180000.0,3094928.0391625324,14928.039162532892,582045.1304142643,78498.33991569025,17804.542448010216,96302.88236370045,500670.28721309674
13.0,20.0,18.356738568837073,18.370401704262473,20.22213622189051,-1.851734517628035,440.42073968996885,540420.7396899689,110,28,86.23188405797102,312.72727272727275,-82420.85393578868,2760000.0,2677792.9407430184,17792.940743019884,522627.79894694895,66852.69667855995,17941.18216877752,84793.87884733747,455626.86084263143
14.0,10.0,19.706479068045468,19.72122786009123,20.22213622189051,-0.5009083617992793,505.38639202807707,605386.392028077,246,30,90.94202898550725,170.6788617886179,-79295.83613467088,5520000.0,5488410.11982731,68410.11982731152,536976.2722007656,98511.13693777636,9481.80439230373,107992.9413300801,497393.45069799694
14.0,11.0,16.737415578902894,16.74979015413649,20.22213622189051,-3.4723460677540174,370.80090844161424,470800.90844161424,174,26,89.0,193.45977011494253,-67489.43173421451,4000000.0,3912798.9376312057,12798.937631203531,458001.9708104107,72749.95016228392,8631.148352472994,81381.09851475692,389419.80992685736
14.0,12.0,19.150094272689138,19.164394268981113,20.22213622189051,-1.0577419529093959,477.8003680297592,577800.3680297593,201,30,89.17748917748918,193.83582089552237,-76677.86711935021,4620000.0,4562886.596157507,42886.59615750985,534913.7718722494,91421.50122717887,10722.386252701941,102143.88747988081,475656.48054987844
14.0,13.0,17.955561094498762,17.968903573660498,20.22213622189051,-2.2532326482300107,422.3603009323007,522360.30093230074,166,29,87.6923076923077,223.48192771084337,-61800.0214101421,3900000.0,3801996.948141617,1996.948141616631,520363.3527906841,76074.20887691635,12703.237969629354,88777.4468465457,433582.85408575507
14.0,14.0,19.012333726437042,19.02652287591757,20.22213622189051,-1.1956133459729372,471.14728836972216,571147.2883697222,170,31,87.56218905472637,232.75294117647059,-62805.35582637985,4020000.0,3928999.6272008633,8999.627200864117,562147.6611688581,80775.24603642322,15640.42462734349,96415.67066376671,474731.6177059555
14.0,15.0,18.8739677399485,18.888045665490296,20.22213622189051,-1.3340905564002128,464.53445812328613,564534.4581232861,156,31,86.63101604278076,243.60897435897436,-65859.63054012836,3740000.0,3640074.0351017145,74.03510171537346,564460.4230215708,80513.27089220044,14688.460080089148,95201.73097228959,469332.72715099656
14.0,16.0,17.536059721133075,17.549067898365568,20.22213622189051,-2.673068323524941,404.05772155701607,504057.7215570161,126,27,87.58169934640523,271.984126984127,-65823.9343239548,3060000.0,2969845.1632033153,9845.163203315136,494212.55835370097,66347.54835567101,14763.42767812002,81110.97603379103,422946.74552322505
14.0,17.0,17.65044834576125,17.66354757801927,20.22213622189051,-2.5585886438712393,408.9902857008994,508990.28570089943,122,27,85.90604026845638,286.59016393442624,-69082.47862919408,2980000.0,2897893.951050965,17893.95105096417,491096.33464993525,66659.77053180098,15574.387298994903,82234.15783079588,426756.1278701036
14.0,18.0,19.506148221554025,19.520735216399345,20.22213622189051,-0.7014010054911637,495.3201766874149,595320.1766874149,136,32,85.11904761904762,276.30882352941177,-74539.1588175759,3360000.0,3263958.4038618132,3958.4038618122795,591361.7728256026,78980.27463562909,18632.12883545836,97612.40347108745,497707.7732163274
14.0,19.0,19.4537475170416,19.468292228425966,20.22213622189051,-0.7538439934645425,492.7121301021322,592712.1301021322,126,31,85.98726114649682,305.031746031746,-80003.0187401328,3140000.0,3050067.0579102486,10067.057910249147,582645.0721918831,73654.78907938472,20224.139064165698,93878.92814355041,498833.2019585818
14.0,20.0,17.887304685121126,17.900592700782592,20.22213622189051,-2.321543521107916,419.34216453610185,519342.16453610186,103,27,86.15384615384616,336.621359223301,-71247.61643139162,2600000.0,2507651.336159633,7651.336159632789,511690.8283764691,59678.72418085336,18657.214406920757,78335.93858777412,441006.22594832774
15.0,10.0,18.446899788217706,18.46063511680289,20.22213622189051,-1.7615011050876177,444.55621579952316,544556.2157995232,219,29,90.32258064516128,165.26940639269407,-71866.47061722838,4960000.0,4882068.512109154,22068.512109154966,522487.7036903682,87535.2583669242,8049.027534316737,95584.28590124093,448971.9298982822
15.0,11.0,18.884283263883194,18.898369477635747,20.22213622189051,-1.3237667442547618,465.0250727250491,565025.0727250491,206,30,89.83050847457628,177.8106796116505,-59771.09148694879,4720000.0,4642112.760887978,22112.7608879795,542912.3118370696,90614.41503457772,8630.08571438635,99244.50074896407,465780.571976085
15.0,12.0,18.63678828844124,18.650675816839414,20.22213622189051,-1.571460405051095,453.35924934891614,553359.2493489161,188,30,88.53211009174312,197.0159574468085,-63746.3295115839,4360000.0,4273294.013989733,13294.013989734842,540065.2353591813,86421.49483330581,10148.317477900726,96569.81231120654,456789.4370377096
15.0,13.0,16.813013653860146,16.825448044522485,20.22213622189051,-3.3966881773680235,373.86203383105277,473862.0338310528,148,26,86.20689655172413,234.07432432432432,-63524.23348922767,3480000.0,3394243.197464019,14243.197464019577,459618.8363670332,68626.95415241068,11388.553337745778,80015.50749015645,393846.5263408963
15.0,14.0,19.339553436576974,19.354006056448437,20.22213622189051,-0.8681301654420714,487.0641454859264,587064.1454859264,174,32,87.86407766990291,217.97701149425288,-66694.074659736,4120000.0,4023083.457989979,3083.457989980663,583980.6874959457,88293.49188294647,12701.99982190602,100995.4917048525,486068.6537810739
